N,sample,seed,avg_degree,edges,threshold,threshold_RR,delta_threshold,S_N,R_N,epsilon,epsilon_crit,margin_M,relative_residual,source_row
316,496,516580760,4,632,4.1732533729968004,4.0779220779220804,0.095331295074724501,116.505584978154,29.4379666353747,0.0026742957506684,0.0081798550520454007,-0.0055055593013769999,9.4232320592071504e-07,1596
500,31,51765021,4,1000,4.0926396655760797,4.0487804878048799,0.043859177771199,192.09254718006699,48.447418117102799,0.0022087339062065001,0.0048280482528958004,-0.0026193143466892999,5.7465952958456001e-07,1631
500,42,62765054,4,1000,4.1051407011094501,4.0487804878048799,0.056360213304575503,189.54422215127099,47.685211432481204,0.0015782907612165,0.0049334543358346,-0.0033551635746181,9.27792549989785e-07,1642
500,50,70765078,4,1000,4.0887373846739203,4.0487804878048799,0.039956896869045799,202.328708015952,50.995249410440302,0.0020415906892447002,0.0044314041534318001,-0.0023898134641870002,8.0219964436954597e-07,1650
500,73,93765147,4,1000,4.0946014689501702,4.0487804878048799,0.045820981145290297,214.667178215116,53.938431574711501,0.0012653868336608999,0.0040035752896243997,-0.0027381884559634002,8.6276447135634803e-07,1673
500,92,112765204,4,1000,4.1058511018330801,4.0487804878048799,0.057070614028204701,177.157267591215,44.660404155372902,0.0020946770212416001,0.0054890091833262001,-0.0033943321620846,9.6528194262604992e-07,1692
500,93,113765207,4,1000,4.0950764129277601,4.0487804878048799,0.046295925122878501,190.05175454929801,47.921427497995701,0.0021493559038169002,0.0049122359053000997,-0.0027628800014832,7.1586379478049497e-07,1693
500,96,116765216,4,1000,4.0929905092157703,4.0487804878048799,0.044210021410893099,187.13021436686,47.231038470366798,0.0023966459941766999,0.0050359525081367998,-0.0026393065139600999,5.7864012563770498e-07,1696
500,107,127765249,4,1000,4.1076585197866198,4.0487804878048799,0.058878031981741699,193.104315411372,48.5239049776849,0.0012833795263145001,0.0047869701418385997,-0.0035035906155239998,9.99513959681664e-07,1707
500,108,128765252,4,1000,4.0948303688679601,4.0487804878048799,0.046049881063080299,197.94029421686301,49.850650332727199,0.0018469042897901,0.0045964284054071996,-0.0027495241156170998,3.5857407815434802e-07,1708
500,110,130765258,4,1000,4.1197662556721397,4.0487804878048799,0.070985767867266097,163.193424769991,41.1268374535763,0.0020128339211068001,0.0062164124422585997,-0.0042035785211517003,4.49727654381121e-07,1710
500,145,165765363,4,1000,4.1079842578583898,4.0487804878048799,0.059203770053514397,163.486542143744,41.310408709941797,0.0026838488859842,0.0061998666024013997,-0.0035160177164170999,4.9776764455725299e-07,1745
500,221,241765591,4,1000,4.0900695356082597,4.0487804878048799,0.0412890478033816,202.010554047234,50.901504563348396,0.001974481251344,0.0044431271246205004,-0.0024686458732764999,9.0949479190681896e-07,1821
500,228,248765612,4,1000,4.0914443946335597,4.0487804878048799,0.0426639068286798,193.95335629333701,48.915792368266203,0.0022038973859544002,0.0047528295343655996,-0.0025489321484111001,7.6130314444892999e-07,1828
500,231,251765621,4,1000,4.0843507104894501,4.0487804878048799,0.0355702226845711,206.93318425439099,52.175217043511402,0.0021355732842265,0.0042657796810518,-0.0021302063968253,4.7644697357274498e-07,1831
500,233,253765627,4,1000,4.1197442581563299,4.0487804878048799,0.0709637703514545,154.90349141214301,39.114801607391101,0.0025107810728457998,0.0067102897781564997,-0.0041995087053106998,9.2213163337177505e-07,1833
500,260,280765708,4,1000,4.10462165269153,4.0487804878048799,0.055841164886648399,166.512929771823,42.079926202348197,0.0027126647763108,0.0060324392139982997,-0.0033197744376875001,9.566119074791051e-07,1860
500,322,342765894,4,1000,4.1004433846211699,4.0487804878048799,0.051662896816291798,170.01125935476799,42.973924897125102,0.0027710521069081,0.0058463303763969,-0.0030752782694886999,9.6792241599108993e-07,1922
500,359,379766005,4,1000,4.0909288853790802,4.0487804878048799,0.042148397574200303,192.78581521254901,48.6363066985354,0.0022815625460475999,0.0047998548496033001,-0.0025182923035557002,6.0422934324771002e-07,1959
