node,degree,shell,x,y,is_hub
353,6,2,0.088704800394087679,0.29699855010419829,0
354,3,2,0.040573644272132156,0.32399962649332437,0
355,6,2,-0.12519723641624597,0.30624780230283521,0
356,2,3,0.07364280242319049,0.47984111389949091,0
357,2,2,0.3741666937230067,-0.16805257589594733,0
358,3,2,-0.16167673570947683,0.2563445964681082,0
359,2,2,0.0052036150093646913,0.3382562148039206,0
360,4,1,0.032655779733567661,0.19583256355532974,0
361,2,3,0.067161852354726465,0.44005614642329227,0
362,3,2,0.31504472042557546,-0.17985236055680928,0
363,2,1,0.0013541338991217913,0.18138087537492428,0
364,4,2,-0.2125909536168914,-0.26247786201649959,0
